Name,Designator,Footprint,Quantity,LCSC Part #
10K,"R4,R5,R6,R7",R0603,4.00,C23137
DC-005-5A-2.5,12V,DC-IN-TH_DC-005-5A-2.5,1.00,C381115
DSR1M_C908221,D3,SOD-123_L2.8-W1.8-LS3.7-RD,1.00,C908221
K8-5851E-N1_C134191,"SW1,SW2",SW-TH_6P-L5.8-W5.8-P2.00-LS4.5-BL,2.00,C134191
1nF,C7,C0805,1.00,C46653
MM1Z24,D2,SOD-123_L2.8-W1.8-LS3.7-FD,1.00,C22379465
Header-Male-2.54_2x3,ICSP,HDR-TH_6P-P2.54-V-M-R2-C3-S2.54-1,1.00,C65114
AMS1117-5.0S,5V,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,1.00,C351450
22uF,"C3,C5",C0805,2.00,C45783
100nF,"C4,C6,C9,C19,C1",C0603,5.00,C14663
10nF,"C10,C12,C13,C14,C15,C16,C17,C18",C0402,8.00,C15195
UMW30N06,MOSFET,TO-252-2_L6.6-W6.1-P4.57-LS9.9-BR-CW,1.00,C369599
3K,R1,R0805,1.00,C17661
1K,R2,R0805,1.00,C17513
LMT85LP,TEMP,TO-92-3_L4.9-W3.7-P1.27-L,1.00,C75856
ATMEGA328P-AU,UC,TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,1.00,C14877
100uF,C2,CAP-SMD_BD6.3-L6.6-W6.6-LS7.6-FD,1.00,C125975
PESDMC2FD18VB,D1,SOD-882_L1.0-W0.6-BI,1.00,C110703
